owner_a,owner_b,games,a_wins,b_wins,ties,a_points_for,b_points_for
owner_joe,owner_ryan,6,3,3,0,585.92,573.54
owner_joe,owner_travis,1,0,1,0,57.4,101.04
owner_joe,owner_mckinley,3,1,2,0,245.32,332.06
owner_joe,owner_justin,4,3,1,0,405.38,380.26
owner_joe,owner_kyle,15,6,9,0,1459.22,1389.64
owner_joe,owner_victor,1,1,0,0,123.08,44.8
owner_joe,owner_john,14,9,5,0,1279.84,1198.72
owner_joe,owner_taylor,9,2,7,0,850.84,994.06
owner_chris_c,owner_joe,14,6,8,0,1198.8,1329.32
owner_chris_c,owner_grant,15,8,7,0,1384.64,1360.18
owner_chris_c,owner_ryan,9,4,5,0,701.18,859.76
owner_chris_c,owner_travis,2,1,1,0,217.36,221.5
owner_chris_c,owner_mckinley,3,2,1,0,289.36,220.96
owner_chris_c,owner_justin,5,4,1,0,572.66,461.0
owner_chris_c,owner_kyle,23,15,8,0,2197.36,1898.02
owner_chris_c,owner_victor,1,0,1,0,78.68,89.48
owner_chris_c,owner_john,12,5,7,0,1047.16,1170.24
owner_chris_c,owner_cliff,12,5,7,0,1026.68,1193.52
owner_chris_c,owner_taylor,10,5,5,0,956.9,832.68
owner_chris_c,owner_jeff,18,10,8,0,1536.84,1657.7
owner_chris_c,owner_chris_d,13,7,6,0,1056.82,1064.22
owner_chris_c,owner_james,14,8,6,0,1265.76,1125.48
owner_chris_c,owner_david,19,10,9,0,1698.66,1767.06
owner_grant,owner_joe,21,9,12,0,2056.46,1952.58
owner_grant,owner_ryan,6,3,3,0,608.06,528.66
owner_grant,owner_travis,1,0,1,0,89.14,137.96
owner_grant,owner_mckinley,3,1,2,0,233.4,283.1
owner_grant,owner_justin,4,2,2,0,367.4,350.24
owner_grant,owner_kyle,16,7,9,0,1529.96,1522.62
owner_grant,owner_victor,1,0,1,0,70.88,87.2
owner_grant,owner_john,10,5,5,0,971.86,946.1
owner_grant,owner_taylor,9,4,5,0,837.42,886.08
owner_grant,owner_jeff,23,9,14,0,2220.54,2129.3
owner_grant,owner_james,15,8,7,0,1341.4,1232.58
owner_travis,owner_victor,1,1,0,0,94.12,62.16
owner_mckinley,owner_taylor,3,1,2,0,212.7,287.64
owner_alex,owner_joe,5,3,2,0,441.12,403.66
owner_alex,owner_chris_c,5,4,1,0,421.28,428.92
owner_alex,owner_grant,5,2,3,0,410.44,511.1
owner_alex,owner_travis,1,1,0,0,82.08,81.58
owner_alex,owner_mckinley,6,3,3,0,471.3,496.9
owner_alex,owner_justin,4,2,2,0,285.64,280.1
owner_alex,owner_kyle,4,3,1,0,316.92,312.36
owner_alex,owner_victor,2,2,0,0,173.78,127.94
owner_alex,owner_taylor,6,3,3,0,620.9,565.14
owner_alex,owner_jeff,4,1,3,0,308.44,362.1
owner_alex,owner_james,3,2,1,0,253.96,252.06
owner_alex,owner_david,5,3,2,0,445.78,429.82
