owner_id,top3_playoff_finishes,top3_playoff_seasons,top3_pf_seasons,top3_pf_seasons_list,top3_winners_finishes,top3_winners_seasons,top2_seeds,top2_seeds_seasons
ben_mccoy,4,"2020,2022,2023,2025",5,"2014,2015,2019,2020,2021",4,"2015,2020,2022,2023",1,2021
owner_alex,2,"2013,2015",0,,2,"2013,2015",0,
owner_chris_c,4,"2013,2014,2016,2021",4,"2013,2014,2016,2018",3,"2013,2014,2016",0,
owner_chris_d,3,"2019,2020,2024",1,2023,2,"2019,2023",1,2023
owner_cliff,4,"2017,2021,2022,2024",3,"2019,2021,2023",3,"2021,2022,2025",2,"2023,2025"
owner_david,5,"2013,2015,2017,2019,2020",7,"2013,2015,2016,2017,2018,2021,2025",6,"2013,2015,2016,2017,2021,2025",2,"2021,2025"
owner_grant,1,2015,4,"2014,2022,2024,2025",2,"2021,2024",1,2024
owner_james,0,,0,,0,,0,
owner_jeff,3,"2018,2024,2025",0,,3,"2019,2020,2024",1,2020
owner_joe,4,"2018,2019,2022,2023",6,"2015,2017,2019,2020,2024,2025",5,"2017,2018,2019,2020,2024",2,"2020,2024"
owner_john,2,"2018,2023",2,"2022,2024",1,2018,1,2022
owner_justin,1,2014,0,,1,2014,0,
owner_kyle,3,"2016,2021,2025",4,"2018,2020,2022,2023",4,"2018,2022,2023,2025",1,2022
owner_mckinley,0,,0,,0,,0,
owner_ryan,0,,0,,0,,0,
owner_taylor,3,"2014,2016,2017",2,"2016,2017",3,"2014,2016,2017",0,
owner_travis,0,,1,2013,0,,0,
owner_victor,0,,0,,0,,0,
