season,owner_id,wins,losses,ties,win_pct,points_for,points_against
2022,owner_kyle,11,5,0,0.6875,1590.7,1436.7
2022,owner_ryan,8,7,0,0.5333,1332.92,1450.92
2022,owner_john,8,8,0,0.5,1593.52,1448.62
2022,owner_chris_d,8,8,0,0.5,1498.62,1454.5
2022,owner_cliff,9,8,0,0.5294,1497.4,1510.74
2022,owner_david,6,9,0,0.4,1194.38,1466.98
2022,owner_grant,6,11,0,0.3529,1631.52,1591.58
2022,owner_chris_c,8,7,0,0.5333,1316.52,1358.6
2022,owner_james,6,9,0,0.4,1099.72,1274.6
2022,owner_jeff,7,9,0,0.4375,1492.6,1521.44
2022,ben_mccoy,10,7,0,0.5882,1538.02,1427.48
2022,owner_joe,9,8,0,0.5294,1616.84,1460.6
2024,owner_kyle,5,10,0,0.3333,1333.78,1490.28
2024,owner_ryan,8,8,0,0.5,1453.42,1473.34
2024,owner_john,8,7,0,0.5333,1479.72,1302.68
2024,owner_chris_d,5,12,0,0.2941,1294.44,1531.56
2024,owner_cliff,8,9,0,0.4706,1513.14,1573.26
2024,owner_david,5,10,0,0.3333,1338.26,1331.66
2024,owner_grant,6,10,0,0.375,1631.6,1568.76
2024,owner_chris_c,9,6,0,0.6,1335.06,1354.82
2024,owner_james,8,8,0,0.5,1446.72,1522.96
2024,owner_jeff,11,6,0,0.6471,1632.98,1479.14
2024,ben_mccoy,9,8,0,0.5294,1511.92,1546.34
2024,owner_joe,14,2,0,0.875,1620.46,1416.7
2023,owner_kyle,10,7,0,0.5882,1649.76,1460.9
2023,owner_ryan,9,6,0,0.6,1283.7,1281.04
2023,owner_john,7,10,0,0.4118,1548.46,1491.6
2023,owner_chris_d,12,4,0,0.75,1587.4,1334.2
2023,owner_cliff,10,6,0,0.625,1581.96,1436.22
2023,owner_david,2,13,0,0.1333,1126.26,1504.02
2023,owner_grant,8,7,0,0.5333,1424.22,1390.04
2023,owner_chris_c,3,12,0,0.2,1119.68,1418.2
2023,owner_james,8,8,0,0.5,1392.24,1407.1
2023,owner_jeff,7,9,0,0.4375,1468.56,1439.84
2023,ben_mccoy,12,5,0,0.7059,1667.76,1531.38
2023,owner_joe,8,9,0,0.4706,1329.56,1485.02
2021,owner_kyle,9,8,0,0.5294,1606.46,1539.5
2021,owner_ryan,7,9,0,0.4375,1337.74,1470.72
2021,owner_john,7,8,0,0.4667,1387.86,1274.34
2021,owner_chris_d,5,10,0,0.3333,1159.62,1320.1
2021,owner_cliff,12,5,0,0.7059,1702.4,1472.94
2021,owner_david,10,6,0,0.625,1721.04,1523.42
2021,owner_grant,9,8,0,0.5294,1605.48,1513.08
2021,owner_chris_c,9,8,0,0.5294,1454.04,1456.76
2021,owner_james,2,13,0,0.1333,1070.1,1459.56
2021,owner_jeff,8,8,0,0.5,1433.98,1352.44
2021,ben_mccoy,10,6,0,0.625,1597.6,1597.44
2021,owner_joe,8,7,0,0.5333,1282.3,1378.32
2020,owner_kyle,8,6,0,0.5714,1410.54,1377.08
2020,owner_ryan,3,11,0,0.2143,1139.58,1343.14
2020,owner_john,7,8,0,0.4667,1276.64,1445.56
2020,owner_chris_d,8,8,0,0.5,1356.0,1226.92
2020,owner_cliff,6,9,0,0.4,1320.54,1393.4
2020,owner_david,7,9,0,0.4375,1365.36,1387.16
2020,owner_grant,8,8,0,0.5,1527.46,1485.58
2020,owner_chris_c,5,9,0,0.3571,1136.86,1309.38
2020,owner_james,7,7,0,0.5,1243.0,1293.28
2020,owner_jeff,10,5,0,0.6667,1370.54,1326.26
2020,ben_mccoy,10,6,0,0.625,1689.24,1404.16
2020,owner_joe,11,4,0,0.7333,1601.4,1445.24
2025,owner_kyle,11,6,0,0.6471,1642.1,1500.94
2025,owner_ryan,6,10,0,0.375,1467.62,1418.8
2025,owner_john,9,8,0,0.5294,1465.02,1484.04
2025,owner_chris_d,5,11,0,0.3125,1211.62,1352.48
2025,owner_cliff,11,5,0,0.6875,1564.64,1413.9
2025,owner_david,11,5,0,0.6875,1636.7,1414.64
2025,owner_grant,7,9,0,0.4375,1608.1,1524.12
2025,owner_chris_c,5,11,0,0.3125,1240.94,1602.46
2025,owner_james,9,7,0,0.5625,1572.52,1441.46
2025,owner_jeff,7,10,0,0.4118,1472.42,1565.64
2025,ben_mccoy,7,10,0,0.4118,1483.26,1696.9
2025,owner_joe,10,6,0,0.625,1568.12,1517.68
2013,owner_victor,4,8,0,0.3333,887.7,1088.0
2013,owner_kyle,4,8,0,0.3333,968.38,1101.94
2013,owner_david,9,5,0,0.6429,1376.86,1241.68
2013,owner_justin,6,6,0,0.5,1042.48,1074.68
2013,owner_grant,5,7,0,0.4167,1109.02,1139.92
2013,owner_chris_c,10,5,0,0.6667,1586.4,1349.94
2013,owner_taylor,4,8,0,0.3333,1005.64,1138.76
2013,owner_travis,7,6,0,0.5385,1274.78,1102.8
2013,owner_alex,10,5,0,0.6667,1196.7,1203.74
2013,owner_jeff,5,7,0,0.4167,1109.22,1093.6
2013,ben_mccoy,8,6,0,0.5714,1173.24,1184.88
2013,owner_joe,6,7,0,0.4615,1202.26,1212.74
2014,owner_kyle,4,8,0,0.3333,1042.32,1170.88
2014,owner_mckinley,8,5,0,0.6154,1142.06,1021.98
2014,owner_david,2,10,0,0.1667,966.82,1216.68
2014,owner_justin,10,5,0,0.6667,1374.6,1265.54
2014,owner_grant,8,5,0,0.6154,1221.46,1189.16
2014,owner_chris_c,10,4,0,0.7143,1451.3,1234.78
2014,owner_james,5,7,0,0.4167,1067.0,1063.52
2014,owner_taylor,9,6,0,0.6,1383.4,1343.68
2014,owner_alex,5,7,0,0.4167,988.46,1126.94
2014,owner_jeff,4,8,0,0.3333,996.34,1044.22
2014,ben_mccoy,8,6,0,0.5714,1426.38,1264.12
2014,owner_joe,5,7,0,0.4167,1041.48,1160.12
2015,owner_kyle,4,8,0,0.3333,911.58,1071.14
2015,owner_mckinley,5,7,0,0.4167,1022.46,1007.7
2015,owner_david,12,2,0,0.8571,1410.62,1211.72
2015,owner_justin,6,6,0,0.5,959.4,967.94
2015,owner_grant,7,8,0,0.4667,1288.5,1404.18
2015,owner_chris_c,5,7,0,0.4167,1021.7,991.66
2015,owner_james,4,8,0,0.3333,985.48,1022.64
2015,owner_taylor,7,6,0,0.5385,1260.46,1275.14
2015,owner_alex,8,7,0,0.5333,1385.38,1339.04
2015,owner_jeff,2,10,0,0.1667,893.26,1147.58
2015,ben_mccoy,10,4,0,0.7143,1430.64,1209.6
2015,owner_joe,8,5,0,0.6154,1279.8,1200.94
2017,owner_kyle,3,11,0,0.2143,998.54,1278.26
2017,owner_john,2,14,0,0.125,1190.9,1436.66
2017,owner_chris_d,8,7,0,0.5333,1276.5,1267.4
2017,owner_cliff,6,10,0,0.375,1222.48,1328.98
2017,owner_david,12,3,0,0.8,1473.12,1170.84
2017,owner_grant,8,8,0,0.5,1358.96,1359.64
2017,owner_chris_c,8,7,0,0.5333,1176.72,1218.06
2017,owner_james,9,5,0,0.6429,1159.8,1105.8
2017,owner_taylor,9,7,0,0.5625,1462.16,1395.9
2017,owner_jeff,9,5,0,0.6429,1252.68,1202.14
2017,ben_mccoy,4,10,0,0.2857,1164.7,1231.52
2017,owner_joe,12,3,0,0.8,1491.12,1232.48
2019,owner_kyle,3,11,0,0.2143,1159.18,1283.14
2019,owner_john,4,10,0,0.2857,1183.46,1311.5
2019,owner_chris_d,11,5,0,0.6875,1498.68,1359.94
2019,owner_cliff,9,6,0,0.6,1389.14,1274.7
2019,owner_david,8,8,0,0.5,1571.2,1581.44
2019,owner_grant,7,7,0,0.5,1310.98,1260.48
2019,owner_chris_c,8,7,0,0.5333,1372.24,1314.66
2019,owner_james,7,8,0,0.4667,1312.62,1441.68
2019,owner_taylor,6,10,0,0.375,1337.56,1455.52
2019,owner_jeff,10,5,0,0.6667,1332.6,1311.84
2019,ben_mccoy,7,7,0,0.5,1336.94,1284.88
2019,owner_joe,10,6,0,0.625,1578.4,1503.22
2018,owner_kyle,9,6,0,0.6,1481.0,1399.34
2018,owner_john,11,5,0,0.6875,1469.1,1406.16
2018,owner_chris_d,8,6,0,0.5714,1308.98,1312.64
2018,owner_cliff,7,8,0,0.4667,1376.22,1400.98
2018,owner_david,8,7,0,0.5333,1535.08,1416.64
2018,owner_grant,6,10,0,0.375,1486.16,1593.88
2018,owner_chris_c,7,7,0,0.5,1405.54,1408.96
2018,owner_james,5,9,0,0.3571,1242.76,1359.58
2018,owner_taylor,6,8,0,0.4286,1273.72,1335.54
2018,owner_jeff,7,9,0,0.4375,1377.8,1454.2
2018,ben_mccoy,7,8,0,0.4667,1400.92,1407.82
2018,owner_joe,9,7,0,0.5625,1595.34,1456.88
2016,owner_joe,7,7,0,0.5,1298.6,1319.74
2016,owner_kyle,10,6,0,0.625,1449.54,1360.0
2016,owner_david,10,5,0,0.6667,1483.54,1290.22
2016,owner_justin,2,11,0,0.1538,1115.8,1318.32
2016,owner_grant,5,8,0,0.3846,1128.36,1217.4
2016,owner_chris_c,10,5,0,0.6667,1584.28,1274.78
2016,owner_james,6,7,0,0.4615,1112.8,1045.4
2016,owner_taylor,12,4,0,0.75,1602.58,1455.18
2016,owner_alex,7,6,0,0.5385,1034.86,1042.92
2016,owner_jeff,5,8,0,0.3846,1156.1,1311.62
2016,ben_mccoy,7,7,0,0.5,1226.92,1221.7
2016,owner_mckinley,3,10,0,0.2308,904.68,1240.78
