season,platform,platform_league_id,champion_owner_id,champion_team_name,losers_champ_owner_id,losers_champ_team_name
2025,sleeper,1269081387739136000,owner_david,Marshawn's DD,owner_james,Snipe Hunter
2022,fleaflicker,311194,owner_kyle,Classy Try-hards,owner_joe,Playing For Next Year
2024,fleaflicker,311194,owner_jeff,Generic Rebrand,owner_cliff,Chaos Leftunent
2023,fleaflicker,311194,ben_mccoy,What Could Have Ben,owner_joe,Playing For Next Year
2021,fleaflicker,311194,owner_cliff,Chaos Leftenant,owner_kyle,Classy Try-hards
2020,fleaflicker,311194,owner_joe,Playing For Next Year,owner_david,Marshawn's Designated Driver
2013,mfl,63294,owner_chris_c,Golden Maples,,
2014,mfl,34454,owner_taylor,Teddy 2 Points,,
2015,mfl,43804,owner_david,Marshawn's Designated Driver,,
2017,mfl,19829,owner_david,Marshawn's Designated Driver,owner_chris_d,Tend to the Sheath
2019,mfl,19829,owner_chris_d,Tend to the Sheath,owner_david,Marshawn's Designated Driver
2018,mfl,19829,owner_john,Destiny's Second Child,owner_jeff,ICP
2016,mfl,19829,owner_taylor,Teddy 2 Points,,
